Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Gillis,Paul,N,1983,1993,F,71,198,December,31,1963,Canada
Kortko,Roger,N,1985,1986,F,71,195,February,1,1963,Canada
Dahlin,Kjell,N,1986,1988,F,73,175,February,2,1963,Sweden
Byakin,Ilja,N,1994,1995,D,69,185,February,2,1963,Ukraine
Hough,Mike,N,1987,1999,F,73,197,February,6,1963,Canada
Gordon,Scott,N,1990,1991,G,70,175,February,6,1963,USA
McLellan,Scott,N,1983,1983,F,73,175,February,10,1963,Canada
Dufour,Luc,N,1983,1985,F,71,180,February,13,1963,Canada
Saarinen,Simo,N,1985,1985,D,70,185,February,14,1963,Finland
Dallman,Marty,N,1988,1989,F,70,180,February,15,1963,Canada
Kharin,Sergei,N,1991,1991,F,71,180,February,20,1963,Russia
Duggan,Ken,N,1988,1988,D,75,210,February,21,1963,Canada
Kostynski,Doug,N,1984,1985,F,73,170,February,23,1963,Canada
Vernon,Mike,N,1983,2002,G,69,180,February,24,1963,Canada
Chisholm,Colin,N,1987,1987,D,75,200,February,25,1963,Canada
Hoffman,Mike,N,1983,1986,F,71,190,February,26,1963,Canada
Coulter,Neal,N,1986,1988,F,74,190,January,2,1963,Canada
Maguire,Kevin,N,1987,1992,F,74,200,January,5,1963,Canada
Butcher,Garth,N,1982,1995,D,73,204,January,8,1963,Canada
Leveille,Normand,N,1982,1983,F,70,175,January,10,1963,Canada
Handy,Ron,N,1985,1988,F,71,175,January,15,1963,Canada
Kennedy,Dean,N,1983,1995,D,74,208,January,18,1963,Canada
Schmidt,Norm,N,1984,1988,D,71,190,January,24,1963,Canada
Hirsch,Tom,N,1984,1988,D,76,210,January,27,1963,USA
Trader,Larry,N,1983,1988,D,73,180,July,7,1963,Canada
Ridley,Mike,N,1986,1997,F,73,195,July,8,1963,Canada
McDonough,Hubie,N,1989,1993,F,69,180,July,8,1963,USA
MacInnis,Al,Y,1982,2004,D,74,204,July,11,1963,Canada
Bergen,Todd,N,1985,1985,F,75,185,July,11,1963,Canada
Carpenter,Bobby,N,1982,1999,F,73,200,July,13,1963,USA
Thomas,Steve,N,1985,2004,F,70,185,July,15,1963,England
Tuer,Allan,N,1986,1990,D,73,190,July,19,1963,Canada
Calder,Eric,N,1982,1983,D,73,180,July,26,1963,Canada
Skrudland,Brian,N,1986,2000,F,73,195,July,31,1963,Canada
Eatough,Jeff,N,1982,1982,F,69,168,June,2,1963,Canada
Evans,Doug,N,1986,1993,F,69,185,June,2,1963,Canada
Ruzicka,Vladimir,N,1990,1994,F,75,215,June,6,1963,Czech Republic
Gilhen,Randy,N,1983,1996,F,73,190,June,13,1963,Germany
Patrick,James,N,1984,2004,D,74,202,June,14,1963,Canada
Strueby,Todd,N,1982,1984,F,73,185,June,15,1963,Canada
Gosselin,Mario,N,1984,1994,G,68,160,June,15,1963,Canada
Gilmour,Doug,N,1984,2003,F,71,177,June,25,1963,Canada
Costello,Rich,N,1984,1986,F,73,175,June,27,1963,USA
Holloway,Bruce,N,1985,1985,D,73,200,June,27,1963,Canada
Sidorkiewicz,Peter,N,1988,1998,G,69,180,June,29,1963,Poland
Habscheid,Marc,N,1982,1992,F,73,185,March,1,1963,Canada
Francis,Ron,Y,1982,2004,F,75,200,March,1,1963,Canada
Vilgrain,Claude,N,1988,1994,F,73,205,March,1,1963,Haiti
Svensson,Magnus,N,1995,1996,D,71,180,March,1,1963,Sweden
Dorion,Dan,N,1986,1988,F,69,180,March,2,1963,USA
Miller,Kelly,N,1985,1999,F,71,195,March,3,1963,USA
Zemlak,Richard,N,1987,1992,F,74,190,March,3,1963,Canada
Thibaudeau,Gilles,N,1987,1991,F,70,165,March,4,1963,Canada
Eagles,Mike,N,1983,2000,F,70,195,March,7,1963,Canada
Lalor,Mike,N,1986,1997,D,73,200,March,8,1963,Canada
Kulak,Stu,N,1983,1989,F,70,180,March,10,1963,Canada
Morrison,Mark,N,1982,1984,F,68,150,March,11,1963,Canada
Thornbury,Tom,N,1984,1984,D,71,175,March,17,1963,Canada
Virta,Hannu,N,1982,1986,D,71,183,March,22,1963,Finland
Eklund,Pelle,N,1986,1994,F,70,175,March,22,1963,Sweden
Roupe,Magnus,N,1988,1989,F,73,189,March,23,1963,Sweden
Lanthier,Jean-Marc,N,1984,1988,F,74,195,March,27,1963,Canada
Boutilier,Paul,N,1982,1989,D,73,200,May,3,1963,Canada
Carter,John,N,1986,1993,F,70,181,May,3,1963,USA
Zombo,Rick,N,1985,1996,D,73,202,May,8,1963,USA
Cirella,Joe,N,1982,1996,D,75,210,May,9,1963,Canada
Strong,Ken,N,1983,1985,F,71,185,May,9,1963,Canada
Mathiasen,Dwight,N,1986,1988,F,73,190,May,12,1963,Canada
Smith,Doug,N,1982,1990,F,71,186,May,17,1963,Canada
McSorley,Marty,N,1984,2000,D,73,235,May,18,1963,Canada
LaForest,Bob,N,1984,1984,F,70,195,May,19,1963,Canada
Jarvenpaa,Hannu,N,1987,1989,F,73,194,May,19,1963,Finland
Meighan,Ron,N,1982,1983,D,75,195,May,26,1963,Canada
Loiselle,Claude,N,1982,1994,F,71,195,May,29,1963,Canada
Heidt,Mike,N,1984,1984,D,73,190,November,4,1963,Canada
Curran,Brian,N,1984,1994,D,77,220,November,5,1963,Canada
Kravets,Mikhail,N,1992,1993,F,70,195,November,12,1963,Russia
Natyshak,Mike,N,1988,1988,F,74,201,November,29,1963,Canada
Hrynewich,Tim,N,1983,1984,F,71,190,October,2,1963,Canada
Flatley,Patrick,N,1984,1997,F,74,197,October,3,1963,Canada
Donnelly,Mike,N,1987,1997,F,71,185,October,10,1963,USA
Harlow,Scott,N,1988,1988,F,73,185,October,11,1963,USA
Wood,Randy,N,1987,1997,F,73,195,October,12,1963,USA
Nylund,Gary,N,1983,1993,D,76,210,October,28,1963,Canada
Ganchar,Perry,N,1984,1989,F,69,180,October,28,1963,Canada
Dineen,Kevin,N,1985,2003,F,71,198,October,28,1963,Canada
Jensen,Chris,N,1986,1992,F,71,180,October,28,1963,Canada
Cyr,Paul,N,1983,1992,F,70,180,October,31,1963,Canada
Chernomaz,Rich,N,1982,1992,F,68,185,September,1,1963,Canada
DeGray,Dale,N,1986,1990,D,73,200,September,1,1963,Canada
Guay,Paul,N,1984,1991,F,71,185,September,2,1963,USA
Gallant,Gerard,N,1985,1995,F,70,190,September,2,1963,Canada
Vanbiesbrouck,John,N,1982,2002,G,68,176,September,4,1963,USA
Tanti,Tony,N,1982,1992,F,69,180,September,7,1963,Canada
Mokosak,John,N,1989,1990,D,71,200,September,7,1963,Canada
Cichocki,Chris,N,1986,1989,F,71,185,September,17,1963,USA
Dark,Michael,N,1987,1988,D,75,210,September,17,1963,Canada
Loney,Troy,N,1984,1995,F,75,209,September,21,1963,Canada
Andreychuk,Dave,N,1983,2006,F,76,220,September,29,1963,Canada
Stevens,Scott,Y,1983,2004,D,74,215,April,1,1964,Canada
Campedelli,Dominic,N,1986,1986,D,73,185,April,3,1964,USA
Lomakin,Andrei,N,1992,1995,F,70,175,April,3,1964,Russia
Graves,Steve,N,1984,1988,F,70,175,April,7,1964,Canada
Tocchet,Rick,N,1985,2002,F,73,210,April,9,1964,Canada
Seguin,Steve,N,1985,1985,F,74,200,April,10,1964,Canada
Trottier,Rocky,N,1984,1985,F,71,185,April,11,1964,Canada
Daneyko,Ken,N,1984,2003,D,73,215,April,17,1964,Canada
Gauthier,Luc,N,1991,1991,D,69,195,April,19,1964,Canada
Courteau,Yves,N,1985,1987,F,73,195,April,25,1964,Canada
Shaw,Brad,N,1986,1999,D,73,190,April,28,1964,Canada
Cullen,John,N,1989,1999,F,70,182,August,2,1964,Canada
Lamb,Mark,N,1986,1996,F,69,180,August,3,1964,Canada
Sandelin,Scott,N,1987,1992,D,73,200,August,8,1964,USA
Hull,Brett,Y,1987,2006,F,71,203,August,9,1964,Canada
Khmylev,Yuri,N,1993,1997,F,73,189,August,9,1964,Russia
Evason,Dean,N,1984,1996,F,70,180,August,22,1964,Canada
Ferraro,Ray,N,1985,2002,F,69,200,August,23,1964,Canada
Reierson,Dave,N,1989,1989,D,73,185,August,30,1964,Canada
Barber,Don,N,1989,1992,F,74,205,December,2,1964,Canada
Cowley,Wayne,N,1994,1994,G,73,185,December,4,1964,Canada
Berezan,Perry,N,1985,1993,F,74,190,December,5,1964,Canada
Laviolette,Peter,N,1989,1989,D,74,200,December,7,1964,USA
Markwart,Nevin,N,1984,1992,F,70,180,December,9,1964,Canada
Gagner,Dave,N,1985,1999,F,70,188,December,11,1964,Canada
Musil,Frantisek,N,1987,2001,D,75,215,December,17,1964,Czech Republic
Pietrangelo,Frank,N,1988,1994,G,70,185,December,17,1964,Canada
Lindholm,Mikael,N,1990,1990,F,73,194,December,19,1964,Sweden
Kocur,Joey,N,1985,1999,F,73,205,December,21,1964,Canada
Klima,Petr,N,1986,1999,F,73,190,December,23,1964,Czech Republic
Byers,Lyndon,N,1984,1993,F,73,200,February,1,1964,Canada
Lehman,Tommy,N,1988,1990,F,73,185,February,3,1964,Sweden
Dadswell,Doug,N,1987,1988,G,70,180,February,7,1964,Canada
Siren,Ville,N,1986,1990,D,74,191,February,11,1964,Finland
Petit,Michel,N,1983,1998,D,73,205,February,12,1964,Canada
Sasser,Grant,N,1984,1984,F,70,175,February,13,1964,USA
Poudrier,Daniel,N,1986,1988,D,74,175,February,15,1964,Canada
Pang,Darren,N,1985,1989,G,65,155,February,17,1964,Canada
Leeman,Gary,N,1984,1997,F,71,175,February,19,1964,Canada
Hall,Taylor,N,1984,1988,F,71,180,February,20,1964,Canada
Ruuttu,Christian,N,1987,1995,F,71,194,February,20,1964,Finland
Paterson,Mark,N,1983,1986,D,71,180,February,22,1964,Canada
Logan,Robert,N,1987,1989,F,73,190,February,22,1964,Canada
Yaremchuk,Ken,N,1984,1989,F,71,185,January,1,1964,Canada
Posavad,Mike,N,1986,1987,D,71,195,January,3,1964,Canada
Camazzola,Jim,N,1984,1987,F,71,190,January,5,1964,Canada
Gosselin,Guy,N,1988,1988,D,70,185,January,6,1964,USA
Clark,Dean,N,1984,1984,D,73,180,January,10,1964,Canada
Nemchinov,Sergei,N,1992,2002,F,73,205,January,14,1964,Russia
Boyko,Darren,N,1989,1989,F,69,169,January,16,1964,Canada
Coxe,Craig,N,1985,1992,F,76,210,January,21,1964,USA
LeBlanc,John,N,1987,1995,F,73,190,January,21,1964,Canada
Shaunessy,Scott,N,1987,1989,D,76,220,January,22,1964,USA
Sweeney,Bob,N,1987,1996,F,75,200,January,25,1964,USA
Roberge,Mario,N,1991,1995,F,71,193,January,25,1964,Canada
Kastelic,Ed,N,1986,1992,F,76,215,January,29,1964,Canada
Stewart,Allan,N,1986,1992,F,73,195,January,31,1964,Canada
Lawless,Paul,N,1983,1990,F,71,185,July,2,1964,Canada
Gusarov,Alexei,N,1991,2001,D,75,185,July,8,1964,Russia
Craven,Murray,N,1983,2000,F,75,195,July,20,1964,Canada
Granato,Tony,N,1989,2001,F,70,185,July,25,1964,USA
Smith,Dennis,N,1990,1991,D,71,190,July,27,1964,USA
Gans,Dave,N,1983,1986,F,70,180,June,6,1964,Canada
McSween,Don,N,1988,1996,D,71,197,June,9,1964,USA
Brown,Doug,N,1987,2001,F,70,185,June,12,1964,USA
Rouse,Bob,N,1984,2000,D,74,215,June,18,1964,Canada
Suter,Gary,N,1986,2002,D,73,215,June,24,1964,USA
Mikulchik,Oleg,N,1994,1996,D,74,200,June,27,1964,Belarus
Kudelski,Bob,N,1988,1996,F,73,205,March,3,1964,USA
McKay,Ross,N,1991,1991,G,71,175,March,3,1964,Canada
Kluzak,Gord,N,1983,1991,D,76,220,March,4,1964,Canada
Gauvreau,Jocelyn,N,1984,1984,D,71,180,March,4,1964,Canada
Housley,Phil,N,1983,2003,D,70,185,March,9,1964,USA
Helminen,Raimo,N,1986,1989,F,73,185,March,11,1964,Finland
Plante,Cam,N,1985,1985,D,73,195,March,12,1964,Canada
Kyte,Jim,N,1983,1996,D,77,210,March,21,1964,Canada
Wregget,Ken,N,1984,2000,G,73,201,March,25,1964,Canada
Bester,Allan,N,1984,1996,G,67,155,March,26,1964,Canada
Samuelsson,Ulf,N,1985,2000,D,73,205,March,26,1964,Sweden
Kerr,Alan,N,1985,1993,F,71,195,March,28,1964,Canada
Kromm,Richard,N,1984,1993,F,71,180,March,29,1964,Canada
Robinson,Scott,N,1990,1990,F,74,180,March,29,1964,Canada
Ellett,Dave,N,1985,2000,D,74,205,March,30,1964,USA
Watson,Bill,N,1986,1989,F,73,185,March,30,1964,Canada
Millen,Corey,N,1990,1997,F,67,170,March,30,1964,USA
Hextall,Ron,N,1987,1999,G,75,192,May,3,1964,Canada
Martin,Tom,N,1985,1990,F,74,200,May,11,1964,Canada
Kidd,Ian,N,1988,1989,D,71,195,May,11,1964,USA
Reid,Dave,N,1984,2001,F,73,217,May,15,1964,Canada
Boh,Rick,N,1988,1988,F,70,185,May,18,1964,Canada
Albelin,Tommy,N,1988,2006,D,74,195,May,21,1964,Sweden
Playfair,Jim,N,1984,1989,D,76,200,May,22,1964,Canada
Verbeek,Pat,N,1983,2002,F,69,192,May,24,1964,Canada
Shaw,David,N,1983,1998,D,74,205,May,25,1964,Canada
Felix,Chris,N,1989,1991,D,71,190,May,27,1964,Canada
Smith,Vern,N,1985,1985,D,73,190,May,30,1964,Canada
Heath,Randy,N,1985,1986,F,68,160,November,11,1964,Canada
Terreri,Chris,N,1987,2001,G,69,170,November,15,1964,USA
Lambert,Lane,N,1984,1989,F,73,185,November,18,1964,Canada
MacLean,John,N,1984,2002,F,73,200,November,20,1964,Canada
Hofford,Jim,N,1986,1989,D,73,190,October,4,1964,Canada
Reddick,Eldon,N,1987,1994,G,68,170,October,6,1964,Canada
Baillargeon,Joel,N,1987,1989,F,73,205,October,6,1964,Canada
Bruce,David,N,1986,1994,F,71,190,October,7,1964,Canada
Tomlak,Mike,N,1990,1994,F,75,205,October,17,1964,Canada
Lacombe,Normand,N,1985,1991,F,73,205,October,18,1964,Canada
LeBlanc,Ray,N,1992,1992,G,70,170,October,24,1964,USA
Bellows,Brian,N,1983,1999,F,71,210,September,1,1964,Canada
Sandstrom,Tomas,N,1985,1999,F,74,205,September,4,1964,Finland
Okerlund,Todd,N,1988,1988,F,71,200,September,6,1964,USA
Parker,Jeff,N,1987,1991,F,75,194,September,7,1964,USA
Maciver,Norm,N,1987,1998,D,71,180,September,8,1964,Canada
Mark,Gordon,N,1987,1995,D,76,218,September,10,1964,Canada
Flichel,Todd,N,1988,1990,D,75,195,September,14,1964,Canada
Errey,Bob,N,1984,1998,F,70,185,September,21,1964,Canada
Henry,Dale,N,1985,1990,F,73,205,September,24,1964,Canada
Tucker,John,N,1984,1996,F,73,200,September,29,1964,Canada
Berry,Brad,N,1986,1994,D,74,190,April,1,1965,Canada
Diduck,Gerald,N,1985,2001,D,73,216,April,6,1965,Canada
Biggs,Don,N,1985,1990,F,68,185,April,7,1965,Canada
Stevens,Kevin,N,1988,2002,F,75,230,April,15,1965,USA
Paynter,Kent,N,1988,1994,D,73,183,April,17,1965,Canada
Jerrard,Paul,N,1989,1989,D,70,185,April,20,1965,Canada
Belfour,Ed,N,1989,2007,G,71,202,April,21,1965,Canada
Zezel,Peter,N,1985,1999,F,71,220,April,22,1965,Canada
Jackson,Jeff,N,1985,1992,F,73,195,April,24,1965,Canada
Heroux,Yves,N,1987,1987,F,71,185,April,27,1965,Canada
Millar,Mike,N,1987,1991,F,70,170,April,28,1965,Canada
Bergevin,Marc,N,1985,2004,D,73,209,August,11,1965,Canada
Torkki,Jari,N,1989,1989,F,71,185,August,11,1965,Finland
Walker,Gord,N,1987,1990,F,73,175,August,12,1965,Canada
Exelby,Randy,N,1989,1990,G,69,170,August,13,1965,Canada
Sjodin,Tommy,N,1993,1994,D,71,190,August,13,1965,Sweden
McHugh,Mike,N,1989,1992,F,70,190,August,16,1965,USA
Jensen,David,N,1985,1988,F,73,195,August,19,1965,USA
Shoebottom,Bruce,N,1988,1991,D,74,200,August,20,1965,Canada
Messier,Mitch,N,1988,1991,F,74,200,August,21,1965,Canada
McRae,Chris,N,1988,1990,F,73,200,August,26,1965,Canada
Miner,John,N,1988,1988,D,70,180,August,28,1965,Canada
Hodgson,Dan,N,1986,1989,F,70,175,August,29,1965,Canada
Andersson,Peter,N,1993,1994,D,73,196,August,29,1965,Sweden
Belanger,Roger,N,1985,1985,F,73,190,December,1,1965,Canada
Berube,Craig,N,1987,2003,F,73,210,December,17,1965,Canada
Mironov,Dmitri,N,1992,2001,D,76,224,December,25,1965,Russia
Stevens,Mike,N,1985,1990,F,73,202,December,30,1965,Canada
Thomson,Jim,N,1987,1994,F,73,220,December,30,1965,Canada
Lappin,Peter,N,1990,1992,F,71,180,December,31,1965,USA
Groulx,Wayne,N,1985,1985,F,73,185,February,2,1965,Canada
Mongeau,Michel,N,1990,1993,F,69,190,February,9,1965,Canada
Foster,Norm,N,1991,1992,G,69,175,February,10,1965,Canada
Reaugh,Daryl,N,1985,1991,G,76,200,February,13,1965,Canada
Lowry,Dave,N,1986,2004,F,73,195,February,14,1965,Canada
Bell,Bruce,N,1985,1990,D,73,190,February,15,1965,Canada
Kachowski,Mark,N,1988,1990,F,71,200,February,20,1965,Canada
LaVarre,Mark,N,1986,1988,F,71,170,February,21,1965,USA
LaFontaine,Pat,Y,1984,1998,F,70,182,February,22,1965,USA
Reekie,Joe,N,1986,2002,D,75,220,February,22,1965,Canada
Makela,Mikko,N,1986,1995,F,73,194,February,28,1965,Finland
Baca,Jergus,N,1991,1992,D,74,211,January,4,1965,Slovakia
McReynolds,Brian,N,1990,1994,F,73,192,January,5,1965,Canada
Beaudoin,Yves,N,1986,1988,D,71,180,January,7,1965,Canada
Bergland,Tim,N,1990,1994,F,75,194,January,11,1965,USA
Borschevsky,Nikolai,N,1993,1996,F,69,180,January,12,1965,Russia
Pedersen,Allen,N,1987,1994,D,75,210,January,13,1965,Canada
Johnston,Greg,N,1984,1992,F,73,205,January,14,1965,Canada
May,Alan,N,1988,1995,F,73,200,January,14,1965,Canada
Essensa,Bob,N,1989,2002,G,73,190,January,14,1965,Canada
Turgeon,Sylvain,N,1984,1995,F,73,200,January,17,1965,Canada
McBain,Andrew,N,1984,1994,F,73,205,January,18,1965,Canada
Bradley,Brian,N,1986,1998,F,70,180,January,21,1965,Canada
Smith,Derrick,N,1985,1994,F,74,215,January,22,1965,Canada
Mazur,Jay,N,1989,1992,F,74,205,January,22,1965,Canada
Tikkanen,Esa,N,1986,1999,F,73,190,January,25,1965,Finland
Hasek,Dominik,N,1991,2008,G,73,166,January,29,1965,Czech Republic
Dollas,Bobby,N,1984,2001,D,74,212,January,31,1965,Canada
Bakovic,Peter,N,1988,1988,F,74,200,January,31,1965,Canada
Smith,Randy,N,1986,1987,F,76,200,July,7,1965,Canada
Evans,Kevin,N,1991,1992,F,69,185,July,10,1965,Canada
Eriksson,Peter,N,1990,1990,F,76,218,July,12,1965,Sweden
Lemieux,Claude,N,1984,2009,F,73,227,July,16,1965,Canada
Guy,Kevan,N,1987,1992,D,75,202,July,16,1965,Canada
Quinn,Dan,N,1984,1997,F,71,182,June,1,1965,Canada
Creighton,Adam,N,1984,1997,F,77,220,June,2,1965,Canada
Courtnall,Russ,N,1984,1999,F,71,185,June,2,1965,Canada
Turcotte,Alfie,N,1984,1991,F,71,185,June,5,1965,USA
Probert,Bob,N,1986,2002,F,75,225,June,5,1965,Canada
Neely,Cam,Y,1984,1996,F,73,218,June,6,1965,Canada
Brydges,Paul,N,1987,1987,F,71,180,June,21,1965,Canada
Madill,Jeff,N,1991,1991,F,71,195,June,21,1965,Canada
Churla,Shane,N,1987,1997,F,73,200,June,24,1965,Canada
Krupp,Uwe,N,1987,2003,D,78,235,June,24,1965,Germany
Raymond,Alain,N,1988,1988,G,70,180,June,24,1965,Canada
Jones,Brad,N,1987,1992,F,73,195,June,26,1965,USA
Toomey,Sean,N,1987,1987,F,73,200,June,27,1965,USA
Lawton,Brian,N,1984,1993,F,73,180,June,29,1965,USA
Pusey,Chris,N,1986,1986,G,73,180,June,30,1965,Canada
Duchesne,Steve,N,1987,2002,D,71,195,June,30,1965,Canada
Rowe,Mike,N,1985,1987,D,73,208,March,8,1965,Canada
Culhane,Jim,N,1990,1990,D,73,190,March,13,1965,Canada
Blomsten,Arto,N,1994,1996,D,75,210,March,16,1965,Finland
Charlesworth,Todd,N,1984,1990,D,73,190,March,22,1965,Canada
Kordic,John,N,1986,1992,F,74,210,March,22,1965,Canada
Presley,Wayne,N,1985,1996,F,71,195,March,23,1965,USA
Puppa,Daren,N,1986,2000,G,76,205,March,23,1965,Canada
Jarvi,Iiro,N,1989,1990,F,73,198,March,23,1965,Finland
Beukeboom,Jeff,N,1987,1999,D,77,230,March,28,1965,Canada
Goertz,Dave,N,1988,1988,D,71,210,March,28,1965,Canada
Tilley,Tom,N,1989,1994,D,73,190,March,28,1965,Canada
Barrasso,Tom,N,1984,2003,G,75,210,March,31,1965,USA
Roberge,Serge,N,1991,1991,F,73,195,March,31,1965,Canada
Jennings,Grant,N,1989,1996,D,75,210,May,5,1965,Canada
Joyce,Duane,N,1994,1994,D,74,203,May,5,1965,USA
Bassen,Bob,N,1986,2000,F,70,185,May,6,1965,Canada
Yzerman,Steve,Y,1984,2006,F,71,185,May,9,1965,Canada
Hajdu,Richard,N,1986,1987,F,73,185,May,10,1965,Canada
Sevcik,Jaroslav,N,1990,1990,F,69,170,May,15,1965,Czech Republic
Cassidy,Bruce,N,1984,1990,D,71,176,May,20,1965,Canada
Grimson,Stu,N,1989,2002,F,76,240,May,20,1965,Canada
Quinney,Ken,N,1987,1991,F,70,186,May,23,1965,Canada
Noonan,Brian,N,1988,1999,F,73,200,May,29,1965,USA
Myllys,Jarmo,N,1989,1992,G,68,160,May,29,1965,Finland
Peluso,Mike,N,1990,1998,F,76,225,November,8,1965,USA
Gill,Todd,N,1985,2003,D,73,180,November,9,1965,Canada
Guenette,Steve,N,1987,1991,G,70,175,November,13,1965,Canada
Barahona,Ralph,N,1991,1992,F,70,180,November,16,1965,USA
Jay,Bob,N,1994,1994,D,71,190,November,18,1965,USA
Donatelli,Clark,N,1990,1992,F,70,180,November,22,1965,USA
Norton,Jeff,N,1988,2002,D,74,195,November,25,1965,USA
Trapp,Doug,N,1987,1987,F,73,180,November,28,1965,Canada
Haanpaa,Ari,N,1986,1988,F,73,185,November,29,1965,Finland
Sceviour,Darin,N,1987,1987,F,70,185,November,30,1965,Canada
Ronning,Cliff,N,1987,2004,F,68,165,October,1,1965,Canada
Townshend,Graeme,N,1990,1994,F,74,225,October,2,1965,Jamaica
Lemieux,Mario,Y,1985,2006,F,76,230,October,5,1965,Canada
Roy,Patrick,Y,1985,2003,G,74,185,October,5,1965,Canada
Daigneault,J.J.,N,1985,2001,D,70,192,October,12,1965,Canada
Krygier,Todd,N,1990,1998,F,73,185,October,12,1965,USA
Cavallini,Paul,N,1987,1996,D,73,202,October,13,1965,Canada
Titov,German,N,1994,2002,F,73,203,October,16,1965,Russia
Shtalenkov,Mikhail,N,1994,2000,G,74,185,October,20,1965,Russia
DePalma,Larry,N,1986,1994,F,73,195,October,27,1965,USA
Broten,Paul,N,1990,1996,F,71,188,October,27,1965,USA
Vesey,Jim,N,1989,1992,F,73,202,October,29,1965,USA
Miller,Kevin,N,1989,2004,F,71,190,September,2,1965,USA
Momesso,Sergio,N,1984,1997,F,75,215,September,4,1965,Canada
Ferner,Mark,N,1987,1995,D,73,193,September,5,1965,Canada
Evans,Shawn,N,1986,1990,D,75,195,September,7,1965,Canada
Prajsler,Petr,N,1988,1992,D,74,200,September,21,1965,Czech Republic
Redmond,Craig,N,1985,1989,D,71,190,September,22,1965,Canada
Yawney,Trent,N,1988,1999,D,75,195,September,29,1965,Canada
Hughes,Brent,N,1989,1997,F,71,195,April,5,1966,Canada
Odelein,Selmar,N,1986,1989,D,73,195,April,11,1966,Canada
Hodge,Ken,N,1989,1993,F,73,200,April,13,1966,England
Elik,Todd,N,1990,1997,F,74,195,April,15,1966,Canada
Kamensky,Valeri,N,1992,2002,F,74,198,April,18,1966,Russia
Riendeau,Vincent,N,1988,1995,G,70,185,April,20,1966,Canada
Smyth,Greg,N,1987,1997,D,75,212,April,23,1966,Canada
Sabourin,Ken,N,1989,1992,D,75,205,April,28,1966,Canada
Richer,Stephane,N,1993,1995,D,71,190,April,28,1966,Canada
Brown,Jeff,N,1986,1998,D,73,204,April,30,1966,Canada
Hawkins,Todd,N,1989,1992,F,73,195,August,2,1966,Canada
Racine,Bruce,N,1996,1996,G,73,170,August,9,1966,Canada
McDougall,Bill,N,1991,1994,F,73,185,August,10,1966,Canada
Vellucci,Mike,N,1988,1988,D,73,180,August,11,1966,USA
Corson,Shayne,N,1986,2004,F,73,202,August,13,1966,Canada
Olczyk,Ed,N,1985,2000,F,73,207,August,16,1966,USA
Sweeney,Don,N,1989,2004,D,70,185,August,17,1966,Canada
Dobbin,Brian,N,1987,1992,F,71,205,August,18,1966,Canada
Finn,Steven,N,1986,1997,D,73,191,August,20,1966,Canada
Dirk,Robert,N,1988,1996,D,76,210,August,20,1966,Canada
Srsen,Tomas,N,1991,1991,F,71,180,August,25,1966,Czech Republic
Murray,Mike,N,1988,1988,F,73,195,August,29,1966,Canada
Wheeldon,Simon,N,1988,1991,F,71,170,August,30,1966,Canada
Baker,Jamie,N,1990,1999,F,73,195,August,31,1966,Canada
Buchberger,Kelly,N,1988,2004,F,74,210,December,2,1966,Canada
Lovsin,Ken,N,1991,1991,D,73,195,December,3,1966,Canada
Lafreniere,Jason,N,1987,1994,F,71,185,December,6,1966,Canada
Gratton,Dan,N,1988,1988,F,73,185,December,7,1966,Canada
Murzyn,Dana,N,1986,1999,D,74,200,December,9,1966,Canada
Sandlak,Jim,N,1986,1996,F,76,219,December,12,1966,Canada
Ranford,Bill,N,1986,2000,G,71,185,December,14,1966,Canada
Weinrich,Eric,N,1989,2006,D,73,207,December,19,1966,USA
Prokhorov,Vitali,N,1993,1995,F,69,185,December,25,1966,Russia
Muller,Kirk,N,1985,2003,F,73,205,February,8,1966,Canada
Semak,Alexander,N,1992,1997,F,70,185,February,11,1966,Russia
Svoboda,Petr,N,1985,2001,D,73,198,February,14,1966,Czech Republic
Robitaille,Luc,Y,1987,2006,F,73,215,February,17,1966,Canada
King,Kris,N,1988,2001,F,71,208,February,18,1966,Canada
Douris,Peter,N,1986,1998,F,73,195,February,19,1966,Canada
Blue,John,N,1993,1996,G,70,185,February,19,1966,USA
Laxdal,Derek,N,1985,1991,F,73,175,February,21,1966,Canada
Lammens,Hank,N,1994,1994,D,74,210,February,21,1966,Canada
Severyn,Brent,N,1990,1999,F,74,211,February,22,1966,Canada
Druce,John,N,1989,1998,F,74,195,February,23,1966,Canada
MacDonald,Kevin,N,1994,1994,D,73,200,February,24,1966,Canada
Hayward,Rick,N,1991,1991,D,73,180,February,25,1966,USA
Fortier,Marc,N,1988,1993,F,73,192,February,26,1966,Canada
Wilks,Brian,N,1985,1989,F,71,175,February,27,1966,Canada
Latos,James,N,1989,1989,F,73,200,January,4,1966,Canada
MacDonald,Brett,N,1988,1988,D,73,205,January,5,1966,Canada
Podloski,Ray,N,1989,1989,F,74,210,January,5,1966,Canada
Tuttle,Steve,N,1989,1991,F,73,197,January,5,1966,Canada
Burridge,Randy,N,1986,1998,F,69,188,January,7,1966,Canada
Borsato,Luciano,N,1991,1995,F,71,190,January,7,1966,Canada
Viveiros,Emanuel,N,1986,1988,D,73,175,January,8,1966,Canada
Vyazmikin,Igor,N,1991,1991,F,73,194,January,8,1966,Russia
Leach,Stephen,N,1986,2000,F,71,197,January,16,1966,USA
