College,GradRate,SFRatio,AdmisRate,FacultyPhD,Type,Region,State,MathSAT,VerbalSAT,ACT
Linfield College,81,17.8,76,89,Private,West,OR,556,495,25
Warner Pacific College,29,12.9,78,39,Private,West,OR,460,415,21
University of Oregon,54,19.7,78,79,Public,West,OR,,,
Willamette University,68,13.3,80,91,Private,West,OR,575,525,25
Oregon State University,45,13.9,84,88,Public,West,OR,522,443,22
University of Portland,72,13.2,85,92,Private,West,OR,527,474,
Western Baptist College,51,16.8,85,23,Private,West,OR,429,404,
George Fox College,52,13.5,90,53,Private,West,OR,497,463,
Pacific University,42,10.9,90,76,Private,West,OR,542,479,24
Oregon Institute of Technology,41,14.7,91,20,Public,West,OR,485,418,
Portland State University,24,20,97,78,Public,West,OR,484,416,22
Swarthmore College,95,8.8,39,93,Private,NorthEast,PA,672,630,
University of Pennsylvania,93,6.3,42,95,Private,NorthEast,PA,680,594,29
Haverford College,95,10.6,44,94,Private,NorthEast,PA,,,
Grove City College,100,18.4,45,65,Private,NorthEast,PA,607,537,27
Bloomsburg Univ. of Pennsylvania,75,18,45,66,Public,NorthEast,PA,524,465,
Kutztown University of Penn.,57,19.4,48,58,Public,NorthEast,PA,492,465,
Millersville University of Penn.,71,16.8,51,72,Public,NorthEast,PA,536,479,
Indiana University of Pennsylvania,63,20.6,51,77,Public,NorthEast,PA,495,446,
Pennsylvania State Univ. Main Campus,63,18.1,54,77,Public,NorthEast,PA,583,500,
West Chester University of Penn.,52,15.3,54,76,Public,NorthEast,PA,495,450,
California University of Pennsylvania,58,16.3,55,53,Public,NorthEast,PA,415,391,
Bryn Mawr College,89,12.3,55,100,Private,NorthEast,PA,630,630,
Shippensburg University of Penn.,72,18.8,56,80,Public,NorthEast,PA,529,468,
Holy Family College,74,11.2,57,44,Private,NorthEast,PA,,,
Bucknell University,93,14.2,58,95,Private,NorthEast,PA,,,
East Stroudsburg University of Penn.,54,19.4,58,66,Public,NorthEast,PA,475,421,
Carnegie Mellon University,74,9.2,60,86,Private,NorthEast,PA,679,555,28
Lafayette College,92,10.5,60,93,Private,NorthEast,PA,,,
Lock Haven University of Pennsylvania,63,16.1,62,47,Public,NorthEast,PA,510,460,
College Misericordia,96,12.9,62,56,Private,NorthEast,PA,,,
York College of Pennsylvania,99,18.1,62,75,Private,NorthEast,PA,517,469,
Gwynedd Mercy College,96,7.8,62,36,Private,NorthEast,PA,500,470,
La Salle University,84,15.1,63,90,Private,NorthEast,PA,540,507,
Mansfield University of Penn.,55,15.9,64,48,Public,NorthEast,PA,,,
Temple University,45,11.2,64,87,Public,NorthEast,PA,508,455,
Franklin and Marshall College,86,10.9,65,93,Private,NorthEast,PA,600,500,26
Lincoln University,45,12.6,66,71,Public,NorthEast,PA,399,375,
University of Scranton,92,14.1,66,83,Private,NorthEast,PA,561,509,
Allentown Coll. of St. Francis de Sales,74,13.3,66,60,Private,NorthEast,PA,515,470,
Slippery Rock University of Penn.,56,16.9,67,72,Public,NorthEast,PA,,,
Lehigh University,91,12.5,67,96,Private,NorthEast,PA,,,
Gettysburg College,83,12.1,69,94,Private,NorthEast,PA,,,
Mercyhurst College,78,16.7,69,45,Private,NorthEast,PA,,,
Edinboro University of Penn.,54,19,70,54,Public,NorthEast,PA,,,
Widener University,63,12.6,70,88,Private,NorthEast,PA,521,491,20
Allegheny College,76,9.9,72,73,Private,NorthEast,PA,,,
Villanova University,96,13.4,72,89,Private,NorthEast,PA,599,528,
Susquehanna University,90,13.9,72,83,Private,NorthEast,PA,,,
University of the Arts,57,7.5,72,16,Private,NorthEast,PA,452,443,
King's College,87,15.6,72,66,Private,NorthEast,PA,504,455,
Muhlenberg College,83,12.8,73,76,Private,NorthEast,PA,565,506,24
Beaver College,73,12.2,73,78,Private,NorthEast,PA,505,460,
Ursinus College,79,11.6,73,82,Private,NorthEast,PA,567,512,
Chestnut Hill College,73,8.3,74,71,Private,NorthEast,PA,483,495,
University of Pittsburgh-Main Campus,66,7.8,74,93,Public,NorthEast,PA,537,480,
Elizabethtown College,81,12.8,76,65,Private,NorthEast,PA,546,492,
Lebanon Valley College,85,12.3,77,84,Private,NorthEast,PA,521,467,
Gannon University,65,13.3,77,47,Private,NorthEast,PA,518,464,23
Moravian College,74,15.2,78,86,Private,NorthEast,PA,,,
Marywood College,66,11.8,78,65,Private,NorthEast,PA,470,449,
Wilson College,67,8.3,78,67,Private,NorthEast,PA,470,460,
Lycoming College,72,14,78,75,Private,NorthEast,PA,493,451,21
Cedar Crest College,74,11.7,78,58,Private,NorthEast,PA,490,470,21
Saint Francis College,69,19.3,79,64,Private,NorthEast,PA,,,
Messiah College,89,14.1,79,68,Private,NorthEast,PA,555,509,24
Saint Joseph's University,83,17.4,80,84,Private,NorthEast,PA,545,498,
Geneva College,74,20.1,80,67,Private,NorthEast,PA,502,460,22
Carlow College,68,10.9,81,58,Private,NorthEast,PA,,,
Eastern College,54,13.6,81,60,Private,NorthEast,PA,479,452,23
Albright College,80,11.3,81,79,Private,NorthEast,PA,537,486,24
Philadelphia Coll. of Textiles and Sci.,68,12.9,82,48,Private,NorthEast,PA,490,440,
Waynesburg College,63,16.2,82,57,Private,NorthEast,PA,,,
Thiel College,60,11.6,82,68,Private,NorthEast,PA,444,418,20
Cabrini College,71,16.5,83,59,Private,NorthEast,PA,434,419,
Duquesne University,75,13.8,84,84,Private,NorthEast,PA,,,
Dickinson College,87,11.2,84,87,Private,NorthEast,PA,,,
Washington and Jefferson College,86,12.1,84,91,Private,NorthEast,PA,,,
Seton Hill College,71,11.2,85,71,Private,NorthEast,PA,,,
Point Park College,66,14.5,85,45,Private,NorthEast,PA,424,418,21
Robert Morris College,58,18.5,85,58,Private,NorthEast,PA,453,400,20
Saint Vincent College,88,12.3,85,62,Private,NorthEast,PA,,,
Juniata College,80,12.7,86,97,Private,NorthEast,PA,558,509,
Alvernia College,72,10.8,87,42,Private,NorthEast,PA,410,430,18
Westminster College,80,12.5,87,62,Private,NorthEast,PA,530,470,24
Wilkes University,67,13.3,88,78,Private,NorthEast,PA,,,
La Roche College,52,14.2,89,57,Private,NorthEast,PA,408,380,
Clarion University of Pennsylvania,63,19.2,91,61,Public,NorthEast,PA,448,412,
Chatham College,52,9.3,93,95,Private,NorthEast,PA,481,491,22
Immaculata College,69,11.2,94,56,Private,NorthEast,PA,420,430,
Brown University,97,7.6,26,99,Private,NorthEast,RI,680,620,28
Rhode Island School of Design,96,10,46,27,Private,NorthEast,RI,551,508,
Providence College,96,18.4,65,66,Private,NorthEast,RI,537,485,25
Rhode Island College,47,15.7,77,74,Public,NorthEast,RI,,,
University of Rhode Island,63,16.6,80,84,Public,NorthEast,RI,515,449,
Bryant College,82,19,81,84,Private,NorthEast,RI,536,447,
Roger Williams University,61,16.4,85,44,Private,NorthEast,RI,455,406,
Salve Regina University,71,9.6,85,64,Private,NorthEast,RI,455,420,
Claflin College,21,16.9,58,69,Private,South,SC,,,
Wofford College,75,15.3,62,91,Private,South,SC,564,517,24
Univ. of South Carolina at Spartanburg,38,15.9,63,70,Public,South,SC,459,411,19
Clemson University,73,18,65,82,Public,South,SC,565,487,
College of Charleston,51,17.2,66,73,Public,South,SC,532,489,22
University of South Carolina at Aiken,48,14.8,66,62,Public,South,SC,480,425,21
Voorhees College,58,22.9,69,43,Private,South,SC,340,330,16
Coker College,75,12.1,75,64,Private,South,SC,469,431,
Coastal Carolina University,51,17,75,74,Public,South,SC,,,
Charleston Southern University,39,19.2,75,60,Private,South,SC,497,450,
University of South Carolina at Columbia,63,16.9,76,84,Public,South,SC,520,465,22
Presbyterian College,85,13.4,77,80,Private,South,SC,580,520,26
Winthrop University,59,12.8,78,71,Public,South,SC,516,470,18
Morris College,60,18.6,83,53,Private,South,SC,,,
Newberry College,83,11.4,83,57,Private,South,SC,466,418,20
The Citadel,84,17.1,83,95,Public,South,SC,,,
Columbia College,76,14.7,83,61,Private,South,SC,460,433,
Central Wesleyan College,58,15.2,84,62,Private,South,SC,429,384,18
Erskine College,67,13.5,85,76,Private,South,SC,532,482,
Lander University,51,17,87,67,Public,South,SC,455,406,18
Furman University,82,13.5,90,92,Private,South,SC,584,528,
Benedict College,48,14.6,91,44,Private,South,SC,,,
Francis Marion University,43,19.1,92,76,Public,South,SC,441,396,
Converse College,75,10.2,93,63,Private,South,SC,,,
Huron University,21,12.9,33,31,Private,Midwest,SD,,,
Dakota Wesleyan University,75,11.4,53,38,Private,Midwest,SD,,,20
Sioux Falls College,48,14.8,92,73,Private,Midwest,SD,,,22
South Dakota State University,67,15,92,62,Public,Midwest,SD,,,23
Dakota State University,35,19.4,93,47,Public,Midwest,SD,,,20
Augustana College,69,10.4,95,66,Private,Midwest,SD,,,
Mount Marty College,44,11.7,99,45,Private,Midwest,SD,,,20
Northern State University,54,20.2,100,68,Public,Midwest,SD,,,20
Black Hills State University,51,29.2,100,63,Public,Midwest,SD,,,
Christian Brothers University,63,11.1,59,81,Private,South,TN,530,480,24
Tusculum College,52,21.9,59,70,Private,South,TN,420,370,19
Vanderbilt University,83,5.8,60,93,Private,South,TN,640,559,28
Maryville College,51,11.1,61,80,Private,South,TN,505,448,23
Freed-Hardeman University,62,16.1,61,68,Private,South,TN,485,458,22
Tennessee State University,41,18.6,62,72,Public,South,TN,,,
University of Tennessee at Chattanooga,39,16.8,64,76,Public,South,TN,,,22
Lambuth University,60,16.1,65,61,Private,South,TN,,,22
University of Memphis,33,16.9,65,77,Public,South,TN,,,22
Fisk University,43,12.5,67,74,Private,South,TN,456,425,21
University of the South,82,10.3,67,89,Private,South,TN,601,557,27
Lincoln Memorial University,53,14.6,71,67,Private,South,TN,,,23
University of Tennessee at Knoxville,53,16.5,72,86,Public,South,TN,525,468,23
Middle Tennessee State University,39,19.2,75,69,Public,South,TN,503,439,20
Austin Peay State University,36,18.2,75,66,Public,South,TN,,,21
Milligan College,64,12,76,63,Private,South,TN,,,23
Lee College,52,18.5,77,42,Private,South,TN,460,456,21
Bethel College,35,11.7,77,63,Private,South,TN,,,
Bryan College,62,12.6,77,70,Private,South,TN,,,
University of Tennessee at Martin,48,19.6,78,68,Public,South,TN,,,22
Tennessee Wesleyan College,36,8.9,78,59,Private,South,TN,440,370,19
Rhodes College,77,10.8,80,90,Private,South,TN,,,
Belmont University,49,11.1,80,61,Private,South,TN,522,490,24
East Tennessee State University,42,14,82,73,Public,South,TN,450,400,21
King College,65,10.7,85,65,Private,South,TN,,,
Carson-Newman College,67,13.6,87,61,Private,South,TN,,,23
Cumberland University,37,11.3,91,55,Private,South,TN,,,
David Lipscomb University,73,16.2,92,97,Private,South,TN,510,470,23
Southern Coll. of Seventh-day Adventists,59,14.1,94,49,Private,South,TN,,,
Tennessee Technological University,54,16.9,98,76,Public,South,TN,,,
Trevecca Nazarene College,49,14,100,57,Private,South,TN,,,
Rice University,91,8.6,19,91,Private,South,TX,,,
Angelo State University,34,23.1,57,60,Public,South,TX,509,441,22
Our Lady of the Lake University,37,14.9,58,56,Private,South,TX,434,407,
University of North Texas,35,22.6,62,86,Public,South,TX,526,467,23
Southwest Texas State University,39,21.2,62,70,Public,South,TX,482,425,21
East Texas State University,35,21.8,65,87,Public,South,TX,467,411,21
University of Texas at Austin,65,19.7,65,91,Public,South,TX,603,523,25
Midwestern State University,36,21.6,70,95,Public,South,TX,,,
Schreiner College,52,11.8,71,51,Private,South,TX,470,420,22
McMurry University,32,11,71,57,Private,South,TX,500,408,21
Texas A&M Univ. at College Station,69,23.1,73,89,Public,South,TX,578,491,25
Sam Houston State University,43,27.2,73,76,Public,South,TX,,,21
Southwestern University,67,11.3,73,83,Private,South,TX,577,526,25
University of Texas at San Antonio,50,25.3,74,94,Public,South,TX,484,423,21
Lamar University,26,18.4,74,48,Public,South,TX,459,413,20
Abilene Christian University,60,18.1,74,70,Private,South,TX,,,22
Texas College,26,18.4,74,37,Private,South,TX,330,290,16
Texas Southern University,10,18.2,75,65,Public,South,TX,390,420,19
University of St. Thomas,62,12.6,75,75,Private,South,TX,560,500,26
Trinity University,93,9.6,75,94,Private,South,TX,635,575,
Texas Christian University,64,14.8,75,81,Private,South,TX,,,
Stephen F. Austin State University,50,21.4,76,85,Public,South,TX,467,472,21
West Texas A&M University,34,21.9,77,70,Public,South,TX,450,440,21
University of Texas at Arlington,29,21,78,73,Public,South,TX,506,434,21
Texas Woman's University,35,14.3,79,67,Public,South,TX,,,
St. Edward's University,46,15.7,80,76,Private,South,TX,483,438,22
Incarnate Word College,95,11.4,80,67,Private,South,TX,480,441,21
Texas Tech University,41,24.7,80,82,Public,South,TX,526,456,23
Houston Baptist University,56,14,80,65,Private,South,TX,498,432,22
Southern Methodist University,72,13.5,80,74,Private,South,TX,,,
Texas A&M University at Kingsville,42,19.7,81,89,Public,South,TX,,,18
St. Mary's University of San Antonio,72,16.2,82,82,Private,South,TX,516,454,22
Jarvis Christian College,25,12.1,84,48,Private,South,TX,341,316,11
Austin College,71,13,84,81,Private,South,TX,554,498,24
Texas Wesleyan University,43,14.5,85,80,Private,South,TX,426,415,20
Texas Lutheran College,50,13.8,85,54,Private,South,TX,498,436,22
Wayland Baptist University,91,13.6,85,50,Private,South,TX,470,440,20
University of Dallas,63,13.4,86,85,Private,South,TX,593,550,26
Dallas Baptist University,87,14.4,87,48,Private,South,TX,497,435,22
LeTourneau University,56,20.8,87,58,Private,South,TX,552,491,24
Howard Payne University,37,12.7,88,59,Private,South,TX,458,405,20
Baylor University,72,18.5,88,71,Private,South,TX,,,
East Texas Baptist University,38,15.7,90,62,Private,South,TX,,,21
Hardin-Simmons University,38,13.7,91,75,Private,South,TX,510,470,22
Lubbock Christian University,39,11.9,91,39,Private,South,TX,,,21
Tarleton State University,41,21.9,92,60,Public,South,TX,441,391,20
Prairie View A. and M. University,35,19.4,93,55,Public,South,TX,377,332,17
Concordia Lutheran College,42,12.1,93,67,Private,South,TX,469,402,20
Southwestern Adventist College,36,13,99,44,Private,South,TX,419,395,21
University of Houston - Downtown,8,20.6,100,75,Public,South,TX,,,
University of Texas-Pan American,16,22.9,100,92,Public,South,TX,,,
Brigham Young University at Provo,33,20.5,73,76,Private,West,UT,,,
Westminster College of Salt Lake City,50,10.5,79,68,Private,West,UT,,,
University of Utah,37,12.8,88,89,Public,West,UT,543,484,24
Weber State University,38,23.9,95,66,Public,West,UT,,,21
Southern Utah University,59,20.5,97,62,Public,West,UT,,,
Washington and Lee University,90,9.6,33,81,Private,South,VA,,,
University of Virginia,95,9.5,34,90,Public,South,VA,,,
College of William and Mary,93,12.1,44,89,Public,South,VA,640,600,
University of Richmond,100,11.7,46,75,Private,South,VA,,,
James Madison University,98,17.9,47,77,Public,South,VA,586,521,
Mary Washington College,84,17.6,50,75,Public,South,VA,,,
Hampton University,70,14,52,60,Private,South,VA,475,442,
Virginia Wesleyan College,68,15.7,61,70,Private,South,VA,,,
Longwood College,62,18.4,68,74,Public,South,VA,497,455,23
Old Dominion University,45,15.1,68,79,Public,South,VA,494,440,
Virginia Commonwealth University,45,8.7,71,81,Public,South,VA,488,449,
Virginia Tech,73,13.8,75,85,Public,South,VA,,,
Randolph-Macon College,74,10.7,75,77,Private,South,VA,533,483,
Virginia Military Institute,68,11.1,76,84,Public,South,VA,541,484,22
Shenandoah University,59,9.2,76,60,Private,South,VA,477,438,20
George Mason University,46,19.3,77,93,Public,South,VA,,,
Hampden - Sydney College,69,13.3,79,95,Private,South,VA,564,517,
Bridgewater College,82,13.2,80,68,Private,South,VA,,,
Roanoke College,72,13,80,85,Private,South,VA,532,487,
Virginia State University,31,16,81,61,Public,South,VA,,,
Clinch Valley Coll. of  the Univ. of Virginia,46,18.1,81,67,Public,South,VA,449,406,
Marymount University,55,10.6,82,77,Private,South,VA,467,440,
Ferrum College,22,12.5,83,53,Private,South,VA,431,388,
Hollins College,72,11.1,83,78,Private,South,VA,502,505,23
Emory & Henry College,82,13.9,84,79,Private,South,VA,485,445,23
Lynchburg College,70,12.4,85,62,Private,South,VA,,,
Radford University,62,19.6,86,73,Public,South,VA,490,460,22
Virginia Intermont College,48,12.3,86,32,Private,South,VA,427,410,19
Christopher Newport University,48,21.2,87,80,Public,South,VA,442,404,
Sweet Briar College,61,6.5,87,91,Private,South,VA,510,500,24
Virginia Union University,30,13.7,87,51,Private,South,VA,343,317,
Mary Baldwin College,90,6.8,88,66,Private,South,VA,468,461,
Randolph-Macon Woman's College,68,9.2,89,88,Private,South,VA,517,502,25
Averett College,48,22.4,89,59,Private,South,VA,469,424,
Christendom College,58,9.3,89,92,Private,South,VA,568,568,23
St. Paul's College,45,14,89,45,Private,South,VA,,,
Eastern Mennonite College,82,11.4,91,46,Private,South,VA,,,
Bluefield College,53,17.8,95,61,Private,South,VA,431,388,20
Middlebury College,97,10.5,34,87,Private,NorthEast,VT,,,
Southern Vermont College,57,13.4,39,28,Private,NorthEast,VT,,,
Bennington College,55,10.1,63,35,Private,NorthEast,VT,551,565,
Marlboro College,61,7.5,70,56,Private,NorthEast,VT,520,550,
Saint Michael's College,84,14.5,72,79,Private,NorthEast,VT,524,479,
Castleton State College,79,14.7,75,89,Public,NorthEast,VT,459,416,21
University of Vermont,79,9.9,78,87,Public,NorthEast,VT,553,488,
Johnson State College,36,14.4,80,80,Public,NorthEast,VT,436,412,
Green Mountain College,76,14,81,77,Private,NorthEast,VT,440,440,
Trinity College,78,10.4,83,58,Private,NorthEast,VT,420,410,
College of St. Joseph,76,9.5,84,53,Private,NorthEast,VT,390,400,
Goddard College,100,14.5,91,56,Private,NorthEast,VT,489,511,
Norwich University,63,13.1,93,71,Private,NorthEast,VT,,,20
Lyndon State College,51,12.6,94,48,Public,NorthEast,VT,,,
Whitman College,72,10.5,54,80,Private,West,WA,600,550,27
University of Washington,65,9,55,96,Public,West,WA,,,
Evergreen State College,68,18.1,61,75,Public,West,WA,521,521,
Heritage College,100,9.5,64,48,Private,West,WA,,,
Western Washington University,61,22.7,64,83,Public,West,WA,530,470,24
University of Puget Sound,63,15,70,79,Private,West,WA,581,520,26
Central Washington University,51,18.1,72,67,Public,West,WA,,,
Seattle University,89,12.2,73,85,Private,West,WA,525,464,24
Gonzaga University,69,14.7,81,78,Private,West,WA,539,492,25
Whitworth College,80,16.9,83,80,Private,West,WA,544,490,24
Eastern Washington University,47,17,86,69,Public,West,WA,400,350,17
Seattle Pacific University,66,16.8,86,83,Private,West,WA,498,455,
St. Martin's College,40,14.5,86,43,Private,West,WA,480,460,19
Pacific Lutheran University,83,11,87,78,Private,West,WA,531,474,23
Washington State University,56,16.9,89,84,Public,West,WA,,,
Univ. of Wisconsin at OshKosh,56,19.2,60,73,Public,Midwest,WI,,,22
Alverno College,55,11.1,63,36,Private,Midwest,WI,,,20
Beloit College,69,11.1,70,87,Private,Midwest,WI,575,549,26
University of Wisconsin at Milwaukee,38,15.9,72,79,Public,Midwest,WI,,,22
Univ. of Wisconsin at Platteville,59,20.6,73,66,Public,Midwest,WI,,,22
University of Wisconsin at Madison,72,11.5,73,93,Public,Midwest,WI,,,
University of Wisconsin-Stout,65,21,76,78,Public,Midwest,WI,,,21
Lawrence University,77,10.1,76,76,Private,Midwest,WI,,,
University of Wisconsin at Parkside,28,18.4,79,87,Public,Midwest,WI,,,20
Univ. of Wisconsin at Eau Claire,61,19.3,79,80,Public,Midwest,WI,525,460,23
Viterbo College,73,10.7,80,51,Private,Midwest,WI,,,22
University of Wisconsin at Green Bay,46,22.2,81,81,Public,Midwest,WI,,,22
Marian College of Fond du Lac,59,8.4,81,37,Private,Midwest,WI,,,20
Concordia University Wisconsin,57,20.5,82,49,Private,Midwest,WI,,,22
Wisconsin Lutheran College,50,8.5,84,48,Private,Midwest,WI,,,23
University of Wisconsin-Whitewater,67,23.1,85,90,Public,Midwest,WI,,,21
Ripon College,64,9.4,85,87,Private,Midwest,WI,557,513,24
Carroll College,79,17.8,85,74,Private,Midwest,WI,,,22
Carthage College,62,15.9,88,74,Private,Midwest,WI,520,460,22
Northland College,52,15.9,88,58,Private,Midwest,WI,490,475,21
Marquette University,77,13.5,89,86,Private,Midwest,WI,561,492,25
Milwaukee School of Engineering,67,16.7,89,35,Private,Midwest,WI,,,25
Lakeland College,57,17.2,91,49,Private,Midwest,WI,,,20
Mount Mary College,78,10.7,92,51,Private,Midwest,WI,520,510,20
St. Norbert College,88,15.1,93,74,Private,Midwest,WI,614,553,24
University of Wisconsin-Superior,36,15.2,100,75,Public,Midwest,WI,,,21
Fairmont State College,50,19.6,72,37,Public,South,WV,,,19
Bethany College,59,13,78,80,Private,South,WV,479,448,23
University of Charleston,57,2.5,78,26,Private,South,WV,505,443,21
Salem-Teikyo University,98,13,79,46,Private,South,WV,,,22
Bluefield State College,42,16.3,80,24,Public,South,WV,420,370,19
Davis & Elkins College,94,12.8,80,64,Private,South,WV,437,399,19
West Virginia University,57,13.4,81,83,Public,South,WV,507,439,22
Shepherd College,46,16.5,83,57,Private,South,WV,481,422,24
Wheeling Jesuit College,72,14.1,84,66,Private,South,WV,479,433,22
Alderson-Broaddus College,52,11.5,86,40,Private,South,WV,443,394,20
Marshall University,50,16.6,87,77,Private,South,WV,465,450,23
West Virginia Wesleyan College,67,16.4,89,58,Private,South,WV,489,439,23
West Liberty State College,60,16.3,91,33,Public,South,WV,,,19
Concord College,49,19.2,98,55,Private,South,WV,,,20
Glenville State College,65,17.3,100,25,Public,South,WV,,,19
University of Wyoming,45,15.1,75,91,Public,West,WY,,,23
